x;y
328.06738018378996;730.2737780919342
249.88288682727978;254.2858194433831
103.80866808521405;163.6377318193536
379.95024531060733;362.8191700977063
909.7738206228261;572.8646996961985
529.5672866996072;427.71445338067724
105.17188078651242;158.58469507974152
111.11121549088318;663.0016480359069
448.18043233120045;328.59318137758936
930.3051339665374;75.73370084157621
957.4450886419936;760.9989926458936
979.5694881030087;101.37861515245216
443.35152451400756;460.01120351250194
298.16577911699017;524.3796000213673
426.9134217187379;589.3685138372057
298.3093098216689;460.59394604012465
930.9848193725431;136.1196123930739
255.80261017024;740.538599926083
702.4561969109906;674.80339824414
349.03668437324967;743.8828945932589
693.2958208998665;202.8145012936402
198.7420867159824;725.6732836625015
470.7834345940651;149.58475922855885
133.96605107931856;50.06611026208493
253.36385648964136;475.5972901195484
970.8711696109256;324.6458966928951
999.8578728465615;684.9264353927598
764.8493488058758;212.21400688078438
130.88256299277663;102.80254555412398
696.1004168571335;715.0556959962119
473.132698718606;136.04641389368877
436.6858614824917;202.45404516131194
50.02624906776833;327.9179297612787
430.0541394430471;273.9464632300366
151.38765894780252;525.1516149344003
364.3627804507259;282.18013931047744
766.482282552623;643.5376755754334
795.0546618866437;110.8513726552569
574.2740184129468;578.2496023863821
277.15284158519023;647.1427821659981
151.8591663636039;497.72444949819305
808.2934474473154;83.11926808508105
135.82546471567377;468.06325477851664
370.83401675606274;164.8654576014539
128.08146550611525;596.9533760373641
110.67803068204435;303.5257052904176
294.2534398382687;482.7298419666633
278.94294317214906;210.85097621692103
709.4442844885881;270.3866075722559
206.08986338195294;577.6897347209875
333.55390092591824;612.6910861505676
997.8260683534046;389.2393295684002
576.9543754262601;429.9691486500505
939.0473053708855;270.427279414003
659.6305469625016;446.6018552240219
819.1242451031828;267.0564014674586
61.222148944455256;522.3851041642633
319.6441621326777;144.37780903614902
726.352402736502;352.0296857415137
808.5488928184666;133.04172290958138
833.8438838723737;647.7882642090404
392.78784586369864;669.4090352017073
74.3620039718147;181.14915237677482
486.9136113181352;259.2959094899871
797.6934275843039;184.7748292488526
704.2036313608148;485.4718088040197
130.24098874986475;504.8761957431065
688.048617602335;122.32562751203206
831.964845825238;112.03045509443491
451.991317517542;728.4608239499478
798.740062674196;613.5139531311097
128.47378911764383;198.98342030138474
568.294943702617;339.6142088750047
289.35403040838423;514.9389858476487
244.72717283724768;141.07446298055652
640.3974431162422;294.5725167943362
236.08968577893515;701.1012512208144
318.09644327997927;628.0727246372882
883.4870902769192;503.4958373848334
59.18464464492337;329.74465570970193
801.5603298867888;67.26413718025834
133.08157299093142;658.3980477077611
622.2158482637224;743.3569527022551
259.3675537469917;146.3908761795835
545.0384575446437;321.24961516411463
854.9394778400339;76.587336467185
221.42700710901735;432.280326486333
828.1513076199246;652.6718313288189
729.0424418131124;650.2345866623822
879.5949541038865;556.5974049344657
615.3601722858081;202.93665229833343
389.486752576186;340.7774800531718
189.1400624728423;270.44228174903844
789.3655828812211;707.4723268817783
794.2656782144379;124.54714967692354
446.5619405805015;721.1401817293797
837.7733634239439;266.98637512670246
558.5966277781488;277.205027752414
885.4774610174971;73.11138480679891
556.5371296030958;504.8708486837487
704.3197163506695;494.27807908282614
656.1580556989928;568.4118178425839
62.61579107555531;370.3209860555172
125.05574405570944;169.46130952561407
583.4109015662418;262.4041259052495
946.5912135957715;449.7166410381942
